brand,ats,identifier,url,verified_name,jobs,sg_jobs,needs_review,src,ai_confidence
Applied Materials,eightfold (browser),https://app.eightfold.ai/careers?domain=appliedmaterials.com,https://app.eightfold.ai/careers?domain=appliedmaterials.com,appliedmaterials,-1,-1,,ai,high
April,ai (browser),https://www.april.com/fr/carrieres/travailler-chez-april/,https://www.april.com/fr/carrieres/travailler-chez-april/,,-1,-1,,ai,low
Aptitude Software,ai (browser),https://www.aptitudesoftware.com/careers/,https://www.aptitudesoftware.com/careers/,,-1,-1,,ai,low
Aqua Security,ai (browser),https://www.aquasec.com/careers/,https://www.aquasec.com/careers/,,-1,-1,,ai,low
Aquifi,ai (browser),https://www.aquifi.com/careers,https://www.aquifi.com/careers,,-1,-1,,ai,low
Archer,greenhouse,archer,https://boards.greenhouse.io/archer,Archer Veterinary Clinic,1,0,0.0,api_sniff,
Arcserve,ai (browser),https://www.arcserve.com/careers,https://www.arcserve.com/careers,,-1,-1,,ai,low
Ardian,workday,https://ardian.wd103.myworkdayjobs.com/ArdianCareers,https://ardian.wd103.myworkdayjobs.com/ArdianCareers,ardian,60,-1,0.0,api_sniff,
Ardmac,ai (browser),https://www.ardmac.com/working-with-ardmac/,https://www.ardmac.com/working-with-ardmac/,,-1,-1,,ai,low
Arista Networks,smartrecruiters,aristanetworks,https://careers.smartrecruiters.com/aristanetworks,Arista Networks,249,2,0.0,api_sniff,
Artisan Partners,greenhouse,artisanpartners,https://boards.greenhouse.io/artisanpartners,Artisan Partners,12,0,0.0,api_sniff,
Arton Capital,ai (browser),https://www.artoncapital.com/careers/,https://www.artoncapital.com/careers/,,-1,-1,,ai,low
Ascendion,ai (browser),https://ascendion.com/careers,https://ascendion.com/careers,,-1,-1,,ai,low
Asia Paint,successfactors (browser),https://career8.successfactors.com/career?site=&company=C0013041173P&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career8.successfactors.com/career?site=&company=C0013041173P&lang=en_GB&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,asiapaint,-1,-1,,ai,low
Aspen Insurance,ai (browser),https://www.aspeninsurance.com/careers,https://www.aspeninsurance.com/careers,,-1,-1,,ai,low
Astellas Pharma,successfactors (browser),https://career8.successfactors.com/career?site=&company=astellasT5&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career8.successfactors.com/career?site=&company=astellasT5&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,astellaspharma,-1,-1,,ai,high
AstraZeneca,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers,https://astrazeneca.wd3.myworkdayjobs.com/Careers,astrazeneca,1408,-1,0.0,api_sniff,
Asyril,ai (browser),https://asyril.com,https://asyril.com,,-1,-1,,ai,low
Audible,ai (browser),https://www.amazon.jobs/en/search?locations=Singapore,https://www.amazon.jobs/en/search?locations=Singapore,,-1,-1,,ai,low
Austal,ai (browser),https://careers.austal.com/,https://careers.austal.com/,,-1,-1,,ai,low
Automation Anywhere,ai (browser),https://www.automationanywhere.com/company/careers,https://www.automationanywhere.com/company/careers,,-1,-1,,ai,high
Avanade,avature (browser),https://www.avanade.com/en/career/search-jobs,https://www.avanade.com/en/career/search-jobs,avanade,-1,-1,,ai,high
Avery Dennison,smartrecruiters,averydennison,https://careers.smartrecruiters.com/averydennison,Avery Dennison,410,0,0.0,api_sniff,
Aviva,workday,https://aviva.wd1.myworkdayjobs.com/External,https://aviva.wd1.myworkdayjobs.com/External,aviva,117,-1,0.0,api_sniff,
B2C2,greenhouse,b2c2,https://boards.greenhouse.io/b2c2,B2C2,9,2,0.0,api_sniff,
BAE Systems,ai (browser),https://careers.baesystems.com/,https://careers.baesystems.com/,,-1,-1,,ai,high
BASF,ai (browser),https://www.basf.com/global/en/careers,https://www.basf.com/global/en/careers,,-1,-1,,ai,high
BCD Travel,successfactors (browser),https://career2.successfactors.eu/career?site=&company=bcdtravels&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career2.successfactors.eu/career?site=&company=bcdtravels&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,bcdtravel,-1,-1,,ai,high
BIS,lever,bis,https://jobs.lever.co/bis,,13,0,0.0,api_sniff,
BLS International,smartrecruiters,blsinternational,https://careers.smartrecruiters.com/blsinternational,BLS International,1,0,0.0,api_sniff,
BMC Software,ai (browser),https://jobs.bmc.com/,https://jobs.bmc.com/,,-1,-1,,ai,high
BNY Mellon,oracle,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BNY-Careers,bnymellon,1674,-1,1.0,api_sniff,
BTIG,ai (browser),https://www.btig.com/careers/,https://www.btig.com/careers/,,-1,-1,,ai,low
BWT,ai (browser),https://www.bwt.com/en/careers/,https://www.bwt.com/en/careers/,,-1,-1,,ai,low
BYD,greenhouse,byd,https://boards.greenhouse.io/byd,BYD North America,20,0,0.0,api_sniff,
Backbase,ai (browser),https://www.backbase.com/careers,https://www.backbase.com/careers,,-1,-1,,ai,high
Badger Meter,ai (browser),https://www.badgermeter.com/careers,https://www.badgermeter.com/careers,,-1,-1,,ai,low
Baidu,greenhouse,baidu,https://boards.greenhouse.io/baidu,Baidu USA,27,0,0.0,api_sniff,
Bain,ai (browser),https://www.bain.com/careers/,https://www.bain.com/careers/,,-1,-1,,ai,high
Bakels,ai (browser),https://www.bakels.com,https://www.bakels.com,,-1,-1,,ai,low
Baker Botts,ai (browser),https://www.bakerbotts.com/careers/careers-at-baker-botts,https://www.bakerbotts.com/careers/careers-at-baker-botts,,-1,-1,,ai,high
Baker McKenzie,ai (browser),https://www.bakermckenzie.com/en/careers,https://www.bakermckenzie.com/en/careers,,-1,-1,,ai,high
Bandai Namco,greenhouse,bandainamco,https://boards.greenhouse.io/bandainamco,Bandai Namco Entertainment America Inc.,10,0,0.0,api_sniff,
Bank of China,ai (browser),https://www.boc.cn/custserv/cs1/msg/200909/t20090928_846317.html,https://www.boc.cn/custserv/cs1/msg/200909/t20090928_846317.html,,-1,-1,,ai,low
Bank of East Asia,ai (browser),https://careers.hkbea.com/,https://careers.hkbea.com/,,-1,-1,,ai,high
Baringa,greenhouse,baringa,https://boards.greenhouse.io/baringa,Baringa,64,2,0.0,api_sniff,
Barings,workday,https://barings.wd1.myworkdayjobs.com/Barings,https://barings.wd1.myworkdayjobs.com/Barings,barings,37,-1,0.0,api_sniff,
Barracuda Networks,ai (browser),https://www.barracuda.com/company/careers,https://www.barracuda.com/company/careers,,-1,-1,,ai,high
Bauer,greenhouse,bauerhockeycascademaveriklacrosse,https://boards.greenhouse.io/bauerhockeycascademaveriklacrosse,Bauer Hockey/ Cascade Maverik Lacrosse,13,0,,ai,low
BayWa,ai (browser),https://www.baywa.com/jobs-karriere/auf-einen-blick,https://www.baywa.com/jobs-karriere/auf-einen-blick,,-1,-1,,ai,low
Bayer,ai (browser),https://jobs.bayer.com/,https://jobs.bayer.com/,,-1,-1,,ai,high
Beaconhouse,ai (browser),https://beaconhouse.com/careers,https://beaconhouse.com/careers,,-1,-1,,ai,low
Beca,ai (browser),https://www.beca.com/careers,https://www.beca.com/careers,,-1,-1,,ai,low
Beetel,ai (browser),https://www.beetel.com/careers,https://www.beetel.com/careers,,-1,-1,,ai,low
Belgacom,ai (browser),https://jobs.proximus.com/be/en,https://jobs.proximus.com/be/en,,-1,-1,,ai,low
Benchmark Electronics,ai (browser),https://www.bench.com/careers/our-work,https://www.bench.com/careers/our-work,,-1,-1,,ai,low
Benham and Reeves,recruitee (browser),https://benhamandreeves.recruitee.com,https://benhamandreeves.recruitee.com,benhamandreeves,-1,-1,,ai,low
Bentley Systems,successfactors (browser),https://career4.successfactors.com/career?site=&company=bentleyprod&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career4.successfactors.com/career?site=&company=bentleyprod&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,bentleysystems,-1,-1,,ai,high
Berjaya,ai (browser),https://www.berjaya.com/careers/,https://www.berjaya.com/careers/,,-1,-1,,ai,low
Bestseller,ai (browser),https://bestseller.com/careers,https://bestseller.com/careers,,-1,-1,,ai,low
BigBasket,ai (browser),https://careers.bigbasket.com/,https://careers.bigbasket.com/,,-1,-1,,ai,low
Bilibili,ai (browser),https://jobs.bilibili.com/,https://jobs.bilibili.com/,,-1,-1,,ai,low
Bimeda,ai (browser),https://www.boehringer-ingelheim.com/careers//,https://www.boehringer-ingelheim.com/careers//,,-1,-1,,ai,low
Bioregen,ai (browser),https://careers.bioregen.com/,https://careers.bioregen.com/,,-1,-1,,ai,low
Biotage,ai (browser),https://careers.biotage.com/,https://careers.biotage.com/,,-1,-1,,ai,low
Birlasoft,successfactors (browser),https://career44.sapsf.com/career?site=&amp;company=birlasoftl&amp;lang=en%5FUS&amp;login_ns=register&amp;career_ns=home&amp;navBarLevel=MY_PROFILE,https://career44.sapsf.com/career?site=&amp;company=birlasoftl&amp;lang=en%5FUS&amp;login_ns=register&amp;career_ns=home&amp;navBarLevel=MY_PROFILE,birlasoft,-1,-1,0.0,api_sniff,
BitGo,greenhouse,bitgo,https://boards.greenhouse.io/bitgo,BitGo,38,1,0.0,api_sniff,
Blackboard,ai (browser),https://www.blackboard.com/company/careers,https://www.blackboard.com/company/careers,,-1,-1,,ai,high
BlueScope,smartrecruiters,bluescope,https://careers.smartrecruiters.com/bluescope,BlueScope,24,0,0.0,api_sniff,
Board of Innovation,workable (browser),https://apply.workable.com/boardofinnovation,https://apply.workable.com/boardofinnovation,boardofinnovation,-1,-1,1.0,api_sniff,
Bobobox,ai (browser),https://bobobox.teamtailor.com/,https://bobobox.teamtailor.com/,,-1,-1,,ai,low
Boge Kompressoren,ai (browser),https://www.boge.com/de-de/jobs-karriere/,https://www.boge.com/de-de/jobs-karriere/,,-1,-1,,ai,low
Bonfiglioli,successfactors (browser),https://career5.successfactors.eu/career?company=C0001104584P&lang=en_US&login_ns=register&navBarLevel=MY_PROFILE,https://career5.successfactors.eu/career?company=C0001104584P&lang=en_US&login_ns=register&navBarLevel=MY_PROFILE,bonfiglioli,-1,-1,,ai,low
Bosch,ai (browser),https://www.bosch.com/careers/,https://www.bosch.com/careers/,,-1,-1,,ai,high
Boston Consulting,ai (browser),https://careers.bcg.com/global/en/,https://careers.bcg.com/global/en/,,-1,-1,,ai,high
Bounce,ashby (browser),https://jobs.ashbyhq.com/Bounce,https://jobs.ashbyhq.com/Bounce,bounce,-1,-1,0.0,api_sniff,
Boyden,ai (browser),https://www.boyden.com/careers/,https://www.boyden.com/careers/,,-1,-1,,ai,low
Bracell,workday,https://averis.wd3.myworkdayjobs.com/RGE,https://averis.wd3.myworkdayjobs.com/RGE,averis,147,-1,1.0,api_sniff,
Brady,greenhouse,brady,https://boards.greenhouse.io/brady,Brady Services,43,0,0.0,api_sniff,
Brainlabs,greenhouse,brainlabs,https://boards.greenhouse.io/brainlabs,Brainlabs,53,3,0.0,api_sniff,
Brand Finance,ai (browser),https://brandfinance.com/careers,https://brandfinance.com/careers,,-1,-1,,ai,low
Bray Controls,ai (browser),https://www.bray.com/careers,https://www.bray.com/careers,,-1,-1,,ai,high
BreadTalk,ai (browser),https://www.breadtalk.com/careers/,https://www.breadtalk.com/careers/,,-1,-1,,ai,low
Bridgestone,workday,https://bridgestone.wd5.myworkdayjobs.com/External,https://bridgestone.wd5.myworkdayjobs.com/External,bridgestone,2000,-1,0.0,api_sniff,
Bright Food,taleo (browser),https://brightfood.taleo.net/careersection/brightfood_external/jobsearch.ftl,https://brightfood.taleo.net/careersection/brightfood_external/jobsearch.ftl,brightfood,-1,-1,,ai,low
Bristlecone,oracle,https://iaagiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/bristlecone-careers,https://iaagiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/bristlecone-careers,bristlecone,174,-1,0.0,api_sniff,
British American Tobacco,successfactors (browser),https://career5.successfactors.eu/career?company=C0007596015P&site=&lang=en_GB&requestParams=&navBarLevel=MY_PROFILE&_s.crb=To3Q7O4TpqN7GvjwwX477%2FbyaZAvaVGYj52jGOdYEYQ%3D,https://career5.successfactors.eu/career?company=C0007596015P&site=&lang=en_GB&requestParams=&navBarLevel=MY_PROFILE&_s.crb=To3Q7O4TpqN7GvjwwX477%2FbyaZAvaVGYj52jGOdYEYQ%3D,britishamericantobacco,-1,-1,,ai,high
Brookfield Properties,smartrecruiters,brookfieldproperties,https://careers.smartrecruiters.com/brookfieldproperties,Brookfield Properties,4,0,0.0,api_sniff,
Brown Advisory,ai (browser),https://www.brownadvisory.com/careers,https://www.brownadvisory.com/careers,,-1,-1,,ai,high
Bryden Wood,ai (browser),https://www.brydenwood.com/careers,https://www.brydenwood.com/careers,,-1,-1,,ai,low
Buffalo Tours,ai (browser),https://www.discova.com/,https://www.discova.com/,,-1,-1,,ai,low
Buhler,ai (browser),https://www.buhlergroup.com/global/en/info_pages/404_not_found.html,https://www.buhlergroup.com/global/en/info_pages/404_not_found.html,,-1,-1,,ai,medium
Burckhardt Compression,successfactors (browser),https://performancemanager.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager.successfactors.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,burckhardtcompression,-1,-1,1.0,api_sniff,
Bureau Veritas,ai (browser),https://careers.bureauveritas.com/,https://careers.bureauveritas.com/,,-1,-1,,ai,high
ByteDance,smartrecruiters,bytedance,https://careers.smartrecruiters.com/bytedance,bytedance,2,0,0.0,api_sniff,
CAB,ai (browser),https://clk.mamma.com/screen?d=cab.com,https://clk.mamma.com/screen?d=cab.com,,-1,-1,,ai,low
CAE,ai (browser),https://www.cae.com/careers,https://www.cae.com/careers,,-1,-1,,ai,high
CATL,ai (browser),https://www.catl.com/404/,https://www.catl.com/404/,,-1,-1,,ai,low
CBRE,taleo (browser),https://cbre.taleo.net/careersection/external/jobsearch.ftl,https://cbre.taleo.net/careersection/external/jobsearch.ftl,cbre,-1,-1,,ai,high
CDPQ,ai (browser),https://www.lacaisse.com/en/careers,https://www.lacaisse.com/en/careers,,-1,-1,,ai,low
CECO Environmental,icims (browser),https://careers-usa-cecoenviro.icims.com/,https://careers-usa-cecoenviro.icims.com/,cecoenvironmental,-1,-1,1.0,api_sniff,
CGI,ai (browser),https://www.cgi.com/en/careers,https://www.cgi.com/en/careers,,-1,-1,,ai,high
CIEE,ai (browser),https://www.ciee.org/about/work-ciee,https://www.ciee.org/about/work-ciee,,-1,-1,,ai,low
CIPD,icims (browser),https://careers.cipd.org/careers-home,https://careers.cipd.org/careers-home,cipd,-1,-1,,ai,low
CJ Group,ai (browser),https://www.cj.net/careers,https://www.cj.net/careers,,-1,-1,,ai,low
CLP,ai (browser),https://careers.clpgroup.com/,https://careers.clpgroup.com/,,-1,-1,,ai,low
CLSA,ai (browser),https://www.clsa.com/careers/,https://www.clsa.com/careers/,,-1,-1,,ai,low
CMC Markets,workday,https://cmcmarkets.wd3.myworkdayjobs.com/CMC_Markets_Careers,https://cmcmarkets.wd3.myworkdayjobs.com/CMC_Markets_Careers,cmcmarkets,55,-1,,ai,high
CTBUH,ai (browser),https://verticalurbanism.org/about/careers/,https://verticalurbanism.org/about/careers/,,-1,-1,,ai,low
Cainiao,ai (browser),https://jobs.alibaba.com/,https://jobs.alibaba.com/,,-1,-1,,ai,low
Calabrio,oracle,https://fa-epcb-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,https://fa-epcb-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,calabrio,66,-1,0.0,api_sniff,
Callsign,workable (browser),https://apply.workable.com/callsign,https://apply.workable.com/callsign,callsign,-1,-1,0.0,api_sniff,
Campbell Soup,workday,https://campbellsoup.wd5.myworkdayjobs.com/ExternalCareers_GlobalSite,https://campbellsoup.wd5.myworkdayjobs.com/ExternalCareers_GlobalSite,campbellsoup,270,-1,1.0,api_sniff,
Camstar,ai (browser),https://www.camstar.com/careers,https://www.camstar.com/careers,,-1,-1,,ai,low
Camtek,ai (browser),https://www.camtek.com/careers/,https://www.camtek.com/careers/,,-1,-1,,ai,low
Capco,greenhouse,capco,https://boards.greenhouse.io/capco,Capco,738,6,0.0,api_sniff,
Capgemini,ai (browser),https://www.capgemini.com/careers/,https://www.capgemini.com/careers/,,-1,-1,,ai,high
Capvision,greenhouse,capvision,https://boards.greenhouse.io/capvision,True North Insights,11,0,1.0,api_sniff,
Carbery,ai (browser),https://www.carbery.com/about/join-our-team/,https://www.carbery.com/about/join-our-team/,,-1,-1,,ai,low
Carestream Health,successfactors (browser),https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,carestreamhealth,-1,-1,1.0,api_sniff,
Carey Olsen,ai (browser),https://www.careyolsen.com/careers,https://www.careyolsen.com/careers,,-1,-1,,ai,low
Cargill,successfactors (browser),https://career2.successfactors.eu/career?career_company=cargill&lang=en_US&company=cargill&site=&loginFlowRequired=true&_s.crb=7GQWlQ1F2u73RR9o5QRvhyr14wcN%2FenWYFFu1Vh3r60%3D,https://career2.successfactors.eu/career?career_company=cargill&lang=en_US&company=cargill&site=&loginFlowRequired=true&_s.crb=7GQWlQ1F2u73RR9o5QRvhyr14wcN%2FenWYFFu1Vh3r60%3D,cargill,-1,-1,,ai,high
Carrian,ai (browser),https://carrian.com/careers,https://carrian.com/careers,,-1,-1,,ai,low
Carta,greenhouse,carta,https://boards.greenhouse.io/carta,Carta,50,2,0.0,api_sniff,
Cartier,ai (browser),https://careers.cartier.com/,https://careers.cartier.com/,,-1,-1,,ai,low
Caseware,lever,caseware,https://jobs.lever.co/caseware,,37,0,0.0,api_sniff,
Catalent,workday,https://catalent.wd1.myworkdayjobs.com/External,https://catalent.wd1.myworkdayjobs.com/External,catalent,312,-1,0.0,api_sniff,
Catenon,ai (browser),https://www.catenon.com,https://www.catenon.com,,-1,-1,,ai,low
Cato Networks,greenhouse,catonetworks,https://boards.greenhouse.io/catonetworks,Cato Networks,109,3,0.0,api_sniff,
Cemex,successfactors (browser),https://career5.successfactors.eu/career?company=emexcentrP2&site=&lang=en_US&requestParams=&login_ns=register&jobPipeline=RCM%20Redirect&navBarLevel=MY_PROFILE&_s.crb=xMnsH5S7ZsQ%2BZBkAaBGE0Ych71w%3D,https://career5.successfactors.eu/career?company=emexcentrP2&site=&lang=en_US&requestParams=&login_ns=register&jobPipeline=RCM%20Redirect&navBarLevel=MY_PROFILE&_s.crb=xMnsH5S7ZsQ%2BZBkAaBGE0Ych71w%3D,cemex,-1,-1,,ai,high
Century 21,ai (browser),https://www.century21.com/general/careers/how-we-support-you,https://www.century21.com/general/careers/how-we-support-you,,-1,-1,,ai,low
Cerner,ai (browser),https://www.oracle.com/careers/,https://www.oracle.com/careers/,,-1,-1,,ai,high
ChannelEngine,recruitee (browser),https://careers-analytics.recruitee.com,https://careers-analytics.recruitee.com,channelengine,-1,-1,0.0,api_sniff,
